"id";"name";"address";"mobile";"postcode";"state";"lat";"lng";"status";"institution";"type";"rating";"service";"panel";"img";"hour"
"1";"KLINIK DESA";"21, Jalan 3/125 D, Desa Petaling";"123456789";"57100";"selangor";"3.0828099";"101.7052383";"buka";"gov";"hospital";"8";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb,pmcare";"1.jpeg";"{""1"":{""from"":""8:00AM"",""to"":""8:00PM""},""2"":{""from"":""8:00AM"",""to"":""8:00PM""},""3"":{""from"":""8:00AM"",""to"":""8:00PM""},""4"":{""from"":""8:00AM"",""to"":""8:00PM""},""5"":{""from"":""8:00AM"",""to"":""8:00PM""},""6"":{""from"":""8:00AM"",""to"":""8:00PM""},""7"":{""from"":""8:00AM"",""to"":""8:00PM""}}"
"2";"KLINIK CHIN";"Ground Floor, Menara Utama Menara Takaful Malaysia, 4 Jalan Sultan Sulaiman";"123456789";"50000";"selangor";"3.1393886";"101.6959686";"tutup";"gov";"hospital";"7";"ultrasound,covid19,fastcovid19,perancang,fomema";"selcare,medkad";NULL;NULL
"3";"POLIKLINIK REN AI BUKIT MALURI (FORMERLY KNOWN AS KLINIK BUKIT MALURI & SURGERI)";"23, Jalan Burung Tiung Taman Bukit Maluri Kepong";"123456789";"52100";"selangor";"3.2010498";"101.6321716";"tutup";"gov";"klinik";"8";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"aia,tnb,pmcare,selcare,medkad";"3.jpg";"{""1"":{""from"":""8:00AM"",""to"":""8:00PM""},""2"":{""from"":""8:00AM"",""to"":""8:00PM""},""3"":{""from"":""8:00AM"",""to"":""8:00PM""},""4"":{""from"":""8:00AM"",""to"":""8:00PM""},""5"":{""from"":""8:00AM"",""to"":""8:00PM""},""6"":{""from"":""8:00AM"",""to"":""8:00PM""},""7"":{""from"":""8:00AM"",""to"":""8:00PM""}}"
"4";"POLIKLINIK BANGSAR ";"28,28A Jalan Telawi Bangsar Baru";"123456789";"59100";"selangor";"3.1318905";"101.6706390";"buka";"gov";"veterinar";"6";"covid19,fastcovid19,denggi,ecg,imunisasi";"pmcare,selcare";NULL;NULL
"5";"PUSAT PAKAR WANITA BANGSAR";"22K, Jalan Telawi Bangsar Baru, Jalan Telawi Bangsar Baru";"123456789";"59100";"selangor";"3.1320183";"101.6705704";"buka";"gov";"veterinar";"5";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare,medkad";NULL;NULL
"6";"KLINIK CHIN";"48, Jalan Bunga Tanjung Taman Muda Cheras / Ampang";"123456789";"56100";"selangor";"3.1208320";"101.7608719";"buka";"gov";"veterinar";"7";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,pmcare";NULL;NULL
"7";"KLINIK LIM";"131, Jalan 17/42, Taman Lawa Off Jalan Kuching";"123456789";"51200";"selangor";"3.1977153";"101.6658478";"tutup";"gov";"hospital";"9";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare";NULL;NULL
"8";"POLIKLINIK LOH";"No. 12, Jalan 7/108C, Taman Sungai Besi";"123456789";"57100";"selangor";"3.0938425";"101.7002029";"buka";"gov";"farmasi";"10";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare,medkad";NULL;NULL
"9";"KLINIK CHAN & KHAW";"50-1, Jalan Radin Tengah Bdr Baru Sri Petaling";"123456789";"57000";"selangor";"3.0683956";"101.6919403";"buka";"gov";"farmasi";"8";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"10";"KLINIK MALURI";"198, Jalan Maluri";"123456789";"55100";"selangor";"3.1342199";"101.7276993";"buka";"gov";"fisiologi";"7";"covid19,fastcovid19,denggi,ecg,imunisasi";"pmcare,selcare";NULL;NULL
"11";"POLIKLINIK CHEN";"16, Jalan Awan Hijau Taman Overseas Union";"123456789";"58200";"selangor";"3.0818000";"101.6702118";"buka";"gov";"psikologi";"8";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare,medkad";NULL;NULL
"12";"POLIKLINIK YEOW";"No. 14 Jln Pandan 2/1 Pandan Jaya";"123456789";"55100";"selangor";"3.1351280";"101.7395935";"buka";"gov";"psikologi";"6";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,pmcare";NULL;NULL
"13";"KLINIK PERTAMA";"16, Jln Besar Sg. Besi";"123456789";"57000";"selangor";"3.0629570";"101.7100296";"buka";"gov";"fisiologi";"5";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare";NULL;NULL
"14";"KLINIK SARAYA DAN SURGERI";"25 Jalan Bunga Tanjung 18, Taman Seraya";"123456789";"56100";"selangor";"3.1149428";"101.7607574";"buka";"gov";"hospital";"7";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare,medkad";NULL;NULL
"15";"KLINIK MURUGASU";"29, Jln Tun Mohd Fuad 3 Tmn Tun Dr Ismail";"123456789";"60000";"selangor";"3.1414738";"101.6277695";"buka";"gov";"hospital";"9";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"16";"KLINIK DR. MONTY";"19 G, Jalan Pandan Indah 4/34";"123456789";"55100";"selangor";"3.1335158";"101.7532043";"buka";"gov";"klinik";"10";"covid19,fastcovid19,denggi,ecg,imunisasi";"pmcare,selcare";NULL;NULL
"17";"KLINIK NG DAN SINGH (FORMERLY KNOWN AS KLINIK SETIA JAYA)";"35, Jalan 1/27B, Desa Setapak";"123456789";"53300";"selangor";"3.2068026";"101.7340622";"tutup";"gov";"veterinar";"8";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare,medkad";NULL;NULL
"18";"KLINIK AHMAD-SHAN DAN SURGERI";"A-G-9 Jalan Taman Sri Sentosa, Taman Sri Sentosa";"123456789";"58000";"selangor";"3.0730224";"101.6534805";"buka";"gov";"veterinar";"7";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,pmcare";NULL;NULL
"19";"KLINIK V-CURE SDN BHD (FORMERLY KNOWN AS KLINIK LOTUZ)";"No. 37, Jalan Midah 3 Taman Midah";"123456789";"56000";"selangor";"3.1033001";"101.7322464";"buka";"gov";"veterinar";"8";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"tnb,pmcare,selcare";NULL;NULL
"20";"KLINIK & SURGERI OVERSEAS UNION";"4, Jalan Awan Hijau, Taman Overseas Union, Bt. 5 1/4, Jalan Kelang Lama";"123456789";"58200";"selangor";"3.0822001";"101.6699524";"buka";"gov";"hospital";"6";"ultrasound,covid19,fastcovid19,perancang,fomema";"pmcare,selcare,medkad";NULL;NULL
"21";"LIAN KLINIK";"No. 487, Jalan Ipoh, 51200, Kuala Lumpur, Wilayah Persekutuan";"123456789";"51200";"selangor";"3.1825523";"101.6804276";"tutup";"gov";"farmasi";"5";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"aia,tnb";NULL;NULL
"22";"KLINIK KITA";"No. 40, Jalan Pandan 2/1, Pandan Jaya";"123456789";"55100";"selangor";"3.1354871";"101.7404633";"buka";"gov";"farmasi";"7";"covid19,fastcovid19,denggi,ecg,imunisasi";"selcare";NULL;NULL
"23";"KLINIK PAKAR KANAK-KANAK TAN";"36 Block A Plaza Sinar, Jalan 8/38D Taman Sri Sinar";"123456789";"51200";"selangor";"3.1894467";"101.6533051";"tutup";"gov";"fisiologi";"9";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare,medkad";NULL;NULL
"24";"KLINIK ANTHONY";"365-1, 4th Mile Jalan Ampang";"123456789";"50450";"selangor";"3.1606083";"101.7402191";"tutup";"gov";"psikologi";"10";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"25";"KLINIK SHANKAR SDN BHD";"2, Jalan Lumut, Damai Complex";"123456789";"50400";"selangor";"3.1707692";"101.6963425";"tutup";"gov";"psikologi";"8";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"pmcare,selcare";NULL;NULL
"26";"KLINIK MANIRAJ";"2-11A, 2nd Floor, City One Plaza, Jln Munshi Abdullah";"123456789";"50100";"selangor";"3.1550581";"101.6979218";"tutup";"gov";"fisiologi";"7";"ultrasound,covid19,fastcovid19,perancang,fomema";"selcare,medkad";NULL;NULL
"27";"KLINIK SEOW";"21, GF, Jln 1-116B, Kuchai Entrepreneur Park";"123456789";"58200";"selangor";"3.0903604";"101.6895752";"buka";"gov";"hospital";"8";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"aia,tnb,pmcare";NULL;NULL
"28";"POLIKLINIK RANI";"No. 18, Ground Floor, Jalan Bangsar";"123456789";"59000";"selangor";"3.1322298";"101.6705933";"buka";"gov";"hospital";"6";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"tnb,pmcare,selcare";NULL;NULL
"29";"KLINIK TAN";"96, Jalan Ipoh";"123456789";"51200";"selangor";"3.1751609";"101.6865540";"tutup";"gov";"klinik";"5";"fastcovid19,perancang,fomema,kehamilan,xray";"pmcare,selcare,medkad";NULL;NULL
"30";"KLINIK RAJ";"10, JLN 8/1D, Tmn Intan Baiduri";"123456789";"52100";"selangor";"3.2334330";"101.6477280";"tutup";"gov";"veterinar";"7";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb";NULL;NULL
"31";"KLINIK KANAK-KANAK KOE";"73, Jln Mega Mendung Kompleks Bandar";"123456789";"58000";"selangor";"3.0823951";"101.6722260";"buka";"gov";"veterinar";"9";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"selcare";NULL;NULL
"32";"KLINIK SETAPAK & SURGERI";"16, Road 46/26 Taman Sri Rampai";"123456789";"53300";"selangor";"3.1955070";"101.7332230";"tutup";"gov";"veterinar";"10";"ultrasound,covid19,fastcovid19,perancang,fomema";"pmcare,selcare";NULL;NULL
"33";"KLINIK LEELA RATOS & RAKAN-RAKAN";"5, Bt 5 Jalan Ipoh";"123456789";"51200";"selangor";"3.1669421";"101.6982803";"tutup";"gov";"hospital";"8";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"selcare,medkad";NULL;NULL
"34";"KLINIK UNI-MED";"Lot 1.01, 1st Floor Wisma Cosway, 88 Jalan Raja Chulan";"123456789";"50200";"selangor";"3.1507483";"101.7117233";"tutup";"gov";"farmasi";"7";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare";NULL;NULL
"35";"KLINIK SETAPAK DAN SURGERI";"No. 39, Jalan 1/27B, Taman Desa Setapak";"123456789";"53300";"selangor";"3.2068627";"101.7341385";"tutup";"gov";"farmasi";"8";"fastcovid19,perancang,fomema,kehamilan,xray";"aia,tnb,pmcare";NULL;NULL
"36";"KUALA LUMPUR SPORTS MEDICINE CENTRE";"Suite 508, Medical Office Block, 282 Jalan Ampang";"123456789";"50450";"selangor";"3.1617639";"101.7387085";"tutup";"gov";"fisiologi";"6";"kehamilan,xray,denggi,ecg,fomema";"selcare,medkad";NULL;NULL
"37";"MAK WOMEN SPECIALIST & FERTILITY CENTRE";"5, Jalan 1/116B, Kuchai Entrepreneur Park";"123456789";"58200";"selangor";"3.0894587";"101.6893997";"buka";"private";"psikologi";"5";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"38";"KLINIK UTAMA";"144, Jalan Besar, Kepong";"123456789";"52100";"selangor";"3.2142053";"101.6368256";"tutup";"private";"psikologi";"7";"fastcovid19,perancang,fomema,kehamilan,xray";"pmcare,selcare";NULL;NULL
"39";"KLINIK MEDIC CITY";"No 92, Tingkap Bawah Jalan Tun Sambanthan Brickfields";"123456789";"50470";"selangor";"3.1313086";"101.6871719";"tutup";"private";"fisiologi";"9";"kehamilan,xray,denggi,ecg,fomema";"selcare,medkad";NULL;NULL
"40";"POLIKLINIK SRI KUCHING";"9, Blok O, Jalan Selingsing 3 Taman Sri Kuching";"123456789";"51200";"selangor";"3.1976185";"101.6744385";"tutup";"private";"hospital";"10";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare";NULL;NULL
"41";"GHANDI'S CARDIOTHORACIC SURGERY SDN. BHD";"Suite 605, Medical Office Building Gleneagles Intan Medical Centre, Jalan Ampang, Kuala Lumpur";"123456789";"50450";"selangor";"3.1612701";"101.7389755";"tutup";"private";"hospital";"8";"fastcovid19,perancang,fomema,kehamilan,xray";"tnb,pmcare,selcare";NULL;NULL
"42";"KLINIK KITA";"No 9 & 9-2, Jalan 1/76 Desa Pandan";"123456789";"55100";"kuala lumpur";"3.1457231";"101.7353592";"buka";"private";"klinik";"7";"kehamilan,xray,denggi,ecg,fomema";"pmcare,selcare,medkad";NULL;NULL
"43";"KLINIK MEDI AL HILMI";"No. 2418, Jalan E 3/6 Taman Ehsan, Kepong";"123456789";"52100";"kuala lumpur";"3.2222140";"101.6247787";"tutup";"private";"veterinar";"8";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb";NULL;NULL
"44";"KLINIK SELINA (FORMERLY KNOWN AS KLINIK RANJIT)";"No. 74, Jalan Sentul Pasar";"123456789";"51000";"kuala lumpur";"3.2071347";"101.6895294";"tutup";"private";"veterinar";"6";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare";NULL;NULL
"45";"KLINIK NUR 'AINA";"12-03, Jalan 27/56 Keramat Wangsa";"123456789";"54200";"kuala lumpur";"3.1817460";"101.7481155";"tutup";"private";"veterinar";"5";"covid19,fastcovid19,denggi,ecg,imunisasi";"selcare,medkad";NULL;NULL
"46";"WONG YIING CHEONG SPECIALIST EYE CENTRE";"No. 6, Jalan 1/96A, Taman Cheras Makmur, Batu 5, Cheras";"123456789";"56100";"kuala lumpur";"3.1025896";"101.7406998";"buka";"private";"hospital";"7";"fastcovid19,perancang,fomema,kehamilan,xray";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"47";"KLINIK SHAFI";"No. 485, Jalan Jambu Air Mawar, Jinjang Selatan";"123456789";"52000";"kuala lumpur";"3.2069261";"101.6623154";"tutup";"private";"farmasi";"9";"kehamilan,xray,denggi,ecg,fomema";"pmcare,selcare";NULL;NULL
"48";"KLINIK SHAFI";"No. 108, Jalan Miri Taman Beringin, Jinjang Utara";"123456789";"52000";"kuala lumpur";"3.2209139";"101.6657715";"tutup";"private";"farmasi";"10";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb,pmcare";NULL;NULL
"49";"KLINIK FAMILI";"26, Jalan 59/10 Taman Koperasi Polis Fasa 2";"123456789";"68100";"kuala lumpur";"3.2201748";"101.6910553";"buka";"private";"fisiologi";"8";"ultrasound,covid19,fastcovid19,perancang,fomema";"tnb,pmcare,selcare";NULL;NULL
"50";"KLINIK LOW";"20 JALAN 1/27B, DESA SETAPAK";"123456789";"53000";"kuala lumpur";"3.2063484";"101.7340851";"tutup";"private";"psikologi";"7";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"pmcare,selcare,medkad";NULL;NULL
"51";"KLINIK SRI SENTOSA";"9, Jalan Seri Sentosa 8 Taman Seri Sentosa";"123456789";"58000";"kuala lumpur";"3.0743291";"101.6532288";"buka";"private";"psikologi";"8";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb";NULL;NULL
"52";"POLIKLINIK TAMAN CHERAS";"10, JALAN CENGKIH, TAMAN CHERAS";"123456789";"56100";"kuala lumpur";"3.1002469";"101.7423401";"buka";"private";"fisiologi";"6";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare";NULL;NULL
