"id";"name";"address";"mobile";"postcode";"state";"lat";"lng";"status";"institution";"type";"rating";"service";"panel";"img";"hour"
"53";"KLINIK DANAU KOTA (FORMERLY KNOWN AS KLINIK SETAPAK DAN SURGERI)";"22 JALAN 7/23E, Taman Danau Kota";"123456789";"53300";"kuala lumpur";"3.2074115";"101.7197723";"tutup";"private";"hospital";"5";"kehamilan,xray,denggi,ecg,fomema";"selcare,medkad";NULL;NULL
"54";"KLINIK SENTUL";"342, Bt 2 1/2, Jalan Ipoh";"123456789";"51200";"kuala lumpur";"3.1751609";"101.6865540";"tutup";"private";"hospital";"7";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb,pmcare,selcare,medkad";NULL;"{""1"":{""from"":""8:00AM"",""to"":""8:00PM""},""2"":{""from"":""8:00AM"",""to"":""8:00PM""},""3"":{""from"":""8:00AM"",""to"":""8:00PM""},""4"":{""from"":""8:00AM"",""to"":""8:00PM""},""5"":{""from"":""8:00AM"",""to"":""8:00PM""},""6"":{""from"":""8:00AM"",""to"":""8:00PM""},""7"":{""from"":""8:00AM"",""to"":""8:00PM""}}"
"55";"KLINIK SETAPAK DAN SURGERI";"19 JALAN PRIMA SETAPAK 5, OFF JLN GENTING KLANG";"123456789";"53300";"kuala lumpur";"3.1965632";"101.7122650";"tutup";"private";"klinik";"9";"ultrasound,covid19,fastcovid19,perancang,fomema";"pmcare,selcare";NULL;NULL
"56";"KLINIK YONG";"139, JALAN IMBI";"123456789";"55100";"kuala lumpur";"3.1444747";"101.7138138";"buka";"private";"veterinar";"10";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"selcare,medkad";NULL;NULL
"57";"KLINIK GOH";"Lot LG032, S.W.P.P.O Box 019, Sungai Wang Plaza, Jalan Sultan Ismail";"123456789";"50250";"kuala lumpur";"3.1448865";"101.7109299";"tutup";"private";"veterinar";"8";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare";NULL;NULL
"58";"KLINIK DOKTOR PAKAR MATA GUSA";"Suite A17, Block A, 1st Floor Plaza Pekeliling, 2, Jalan Tun Razak";"123456789";"50400";"kuala lumpur";"3.1726530";"101.6929779";"tutup";"private";"veterinar";"7";"fastcovid19,perancang,fomema,kehamilan,xray";"tnb,pmcare,selcare";NULL;NULL
"59";"KLINIK DRS. ABRAHAM, GEORGE & PARTNERS";"Level One, Menara Manulife RB, Jalan Gelenggang, Damansara Heights";"123456789";"50490";"kuala lumpur";"3.1512976";"101.6633377";"tutup";"private";"hospital";"8";"kehamilan,xray,denggi,ecg,fomema";"pmcare,selcare,medkad";NULL;NULL
"60";"KLINIK CHEAH";"285 Jalan Ampang";"123456789";"50450";"kuala lumpur";"3.1602271";"101.7351074";"tutup";"private";"farmasi";"6";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb";NULL;NULL
"61";"KLINIK PAKAR C.H.FOONG";"200 Jalan Tun Sambathan";"123456789";"50470";"kuala lumpur";"3.1311357";"101.6857605";"tutup";"private";"farmasi";"5";"ultrasound,covid19,fastcovid19,perancang,fomema";"selcare";NULL;NULL
"62";"KLINIK GENTING UNI-MED";"8th Floor, Wisma Genting No. 28, Jalan Sultan Ismail";"123456789";"50250";"kuala lumpur";"3.1506026";"101.7110138";"tutup";"private";"fisiologi";"7";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"pmcare,selcare";NULL;NULL
"63";"KLINIK KITA";"No. 20G, Jalan 14/48A Sentul Raya Boulevard";"123456789";"51000";"kuala lumpur";"3.1848564";"101.6919785";"tutup";"private";"psikologi";"9";"covid19,fastcovid19,denggi,ecg,imunisasi";"selcare,medkad";NULL;NULL
"64";"KLINIK KITA";"No 14 & 14-1, Lorong 4/27F Off Jalan Genting Klang Wangsa Maju";"123456789";"53300";"kuala lumpur";"3.2089131";"101.7287140";"tutup";"private";"psikologi";"10";"fastcovid19,perancang,fomema,kehamilan,xray";"aia,tnb,pmcare";NULL;NULL
"65";"POLIKLINIK SUHAIMI";"No. 88, Jalan 1/27F, Pusat Bandar Wangsa Maju";"123456789";"53300";"kuala lumpur";"3.2011869";"101.7422028";"tutup";"private";"fisiologi";"8";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,pmcare";NULL;NULL
"66";"POLIKLINIK SERI MAS";"105 Jalan Pertiwi, Taman Maluri";"123456789";"55100";"kuala lumpur";"3.1375113";"101.7326355";"buka";"private";"hospital";"7";"covid19,fastcovid19,denggi,ecg,imunisasi";"selcare,medkad";NULL;NULL
"67";"POLIKLINIK KUMPULAN CITY";"13th Floor Menara Multi1 Purpose, Capital Square 8, Jalan Munshi Abdullah";"123456789";"50100";"kuala lumpur";"3.1551571";"101.6993103";"tutup";"private";"hospital";"8";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"68";"C.C. HO NEUROMEDICAL CLINIC";"100 Jalan Imbi";"123456789";"55100";"kuala lumpur";"3.1449158";"101.7137680";"buka";"private";"klinik";"6";"fastcovid19,perancang,fomema,kehamilan,xray";"pmcare,selcare";NULL;NULL
"69";"KANDIAH PLASTIK SURGERY (FORMERLY KNOWN AS KANDIAH PLASTIC & COSMETIC SURGERY)";"142, Jalan Ipoh, Titiwangsa Sentral, 50400, Kuala Lumpur";"123456789";"51200";"kuala lumpur";"3.2028553";"101.6718521";"tutup";"private";"veterinar";"5";"kehamilan,xray,denggi,ecg,fomema";"selcare,medkad";NULL;NULL
"70";"KLINIK SRI PERMAISURI";"B1-12 Plaza Dwitasik Jalan Tasik Permaisuri 1 Bandar Sri Permaisuri";"123456789";"56000";"kuala lumpur";"3.1029158";"101.7139206";"buka";"private";"veterinar";"7";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb,pmcare";NULL;NULL
"71";"POLIKLINIK KUMPULAN CITY";"20-4 Jalan Pahang";"123456789";"53000";"kuala lumpur";"3.1728044";"101.6988144";"tutup";"private";"veterinar";"9";"ultrasound,covid19,fastcovid19,perancang,fomema";"tnb,pmcare,selcare";NULL;NULL
"72";"KLINIK EVERLASTING SDN BHD";"40, Jalan 56 Kepong Baru";"123456789";"52100";"kuala lumpur";"3.2118642";"101.6299896";"tutup";"private";"hospital";"10";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"pmcare,selcare,medkad";NULL;NULL
"73";"KLINIK BAHAROM";"758 Jalan Sentul";"123456789";"51000";"kuala lumpur";"3.1783316";"101.6924744";"tutup";"private";"farmasi";"8";"covid19,fastcovid19,denggi,ecg,imunisasi";"selcare,medkad";NULL;NULL
"74";"DR LIM MEDICAL CLINIC (FOMERLY KNOWN AS BIOPULSE MEDICAL CLINIC & HOLISTIC CENTRE)";"17-2 (2nd Floor), Signature Office, The Boulevard, Mid Valley City Lingkaran Syed Putra";"123456789";"59200";"kuala lumpur";"3.1192501";"101.6774445";"buka";"private";"farmasi";"7";"fastcovid19,perancang,fomema,kehamilan,xray";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"75";"KLINIK DR. FATEH MOHD DAN RAKAN-RAKAN";"2nd Floor, Menara Bumiputra Jalan Melaka";"123456789";"50100";"kuala lumpur";"3.1504140";"101.6971817";"tutup";"private";"fisiologi";"8";"kehamilan,xray,denggi,ecg,fomema";"pmcare,selcare";NULL;NULL
"76";"POLIKLINIK UNITED";"Blok A, Lot 107 11 Jalan Sepadu United Garden, Jalan Klang Lama";"123456789";"58200";"kuala lumpur";"3.0834701";"101.6748428";"buka";"private";"psikologi";"6";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb,pmcare";NULL;NULL
"77";"POLIKLINIK DR. CHIN ";"Wisma Endah 500-G-2 Jalan Tun Razak";"123456789";"50400";"kuala lumpur";"3.1352291";"101.7187500";"tutup";"private";"psikologi";"5";"ultrasound,covid19,fastcovid19,perancang,fomema";"tnb,pmcare,selcare";NULL;NULL
"78";"CHEW SKIN SPECIALIST CLINIC";"Suite 201, 2nd Floor, Bangunan UMNO Selangor 142, Jalan Ipoh";"123456789";"51200";"kuala lumpur";"3.1707680";"101.6933136";"tutup";"private";"fisiologi";"7";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"pmcare,selcare,medkad";NULL;NULL
"79";"PUSAT PAKAR X RAY HO";"No 4, Jalan Sg. Besi";"123456789";"57100";"kuala lumpur";"3.1259296";"101.7074966";"buka";"private";"hospital";"9";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb";NULL;NULL
"80";"KLINIK SETAPAK & SURGERI";"No. 179, Jalan Genting Kelang, Setapak";"123456789";"53300";"kuala lumpur";"3.1943030";"101.7116013";"tutup";"private";"hospital";"10";"fastcovid19,perancang,fomema,kehamilan,xray";"selcare";NULL;NULL
"81";"KLINIK BANDAR RAYA";"No. 7, Jalan Telawi 5 Bangsar Baru";"123456789";"59100";"kuala lumpur";"3.1327395";"101.6722641";"buka";"private";"klinik";"8";"kehamilan,xray,denggi,ecg,fomema";"selcare,medkad";NULL;NULL
"82";"KLINIK CHANG";"L1-019, Times 89 Business Plaza No.3, Jalan 8A/133 Sri Sentosa";"123456789";"58000";"kuala lumpur";"3.0727086";"101.6525421";"buka";"private";"veterinar";"7";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"83";"KLINIK H. P. WOK";"5, Ground Floor Jalan 8A/133 Taman Sri Sentosa";"123456789";"58000";"kuala lumpur";"3.0738969";"101.6535187";"buka";"private";"veterinar";"8";"ultrasound,covid19,fastcovid19,perancang,fomema";"pmcare,selcare";NULL;NULL
"84";"KLINIK KOK KAI YAN SDN. BHD";"99, Jalan Ipoh";"123456789";"51200";"kuala lumpur";"3.1777828";"101.6848373";"tutup";"private";"veterinar";"6";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"selcare,medkad";NULL;NULL
"85";"KLINIK TENAGA BARU";"No. 12, Jalan Sembilang Taman Tenaga";"123456789";"56100";"kuala lumpur";"3.1139667";"101.7257309";"buka";"private";"hospital";"5";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare";NULL;NULL
"86";"KLINIK CHONG & RAKANK RAKAN";"10, Lorong Ara Kiri Dua Lucky Garden, Bangsar";"123456789";"59100";"kuala lumpur";"3.1274006";"101.6697083";"buka";"private";"farmasi";"7";"fastcovid19,perancang,fomema,kehamilan,xray";"tnb,pmcare,selcare";NULL;NULL
"87";"KLINIK GOON";"45, Jalan Manis 4 Taman Segar";"123456789";"56100";"kuala lumpur";"3.0895312";"101.7426910";"buka";"private";"farmasi";"9";"kehamilan,xray,denggi,ecg,fomema";"pmcare,selcare,medkad";NULL;NULL
"88";"KLINIK WONG";"3434, Jalan Jinjang Jinjang Utara";"123456789";"52000";"kuala lumpur";"3.2100165";"101.6580200";"tutup";"private";"fisiologi";"10";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb";NULL;NULL
"89";"KLINIK KITA";"No. 35G, Jalan Pandan Indah 1/23 Pandan Indah";"123456789";"55100";"kuala lumpur";"3.1317644";"101.7511444";"buka";"private";"psikologi";"8";"ultrasound,covid19,fastcovid19,perancang,fomema";"selcare";NULL;NULL
"90";"KLINIK CITY";"31, Taman City, Jalan Kuching";"123456789";"51200";"kuala lumpur";"3.1966908";"101.6687469";"tutup";"private";"psikologi";"7";"fastcovid19,perancang,fomema,kehamilan,xray,denggi";"pmcare,selcare";NULL;NULL
"91";"T L LIM MEDICAL SPECIALIST (FORMERLY KNOWN AS KLINIK PAKAR WANITA DR. LIM TYE LENG)";"Suite 12A, 3rd Floor Pantai Cheras Medical Centre 1, Jalan 1/96A, Taman Cheras Makmur";"123456789";"56100";"kuala lumpur";"3.1025896";"101.7406998";"buka";"private";"fisiologi";"8";"covid19,fastcovid19,denggi,ecg,imunisasi";"selcare,medkad";NULL;NULL
"92";"KLINIK PAKAR WANITA GOON";"Room 3A, Pantai Cheras Medical Centre 1, Jalan 1/96A, Taman Cheras Makmur";"123456789";"56100";"kuala lumpur";"3.1025896";"101.7406998";"buka";"private";"hospital";"6";"fastcovid19,perancang,fomema,kehamilan,xray";"aia,tnb,pmcare";NULL;NULL
"93";"KLINIK AKASHAH";"4, Jalan 5/38B, Taman Segambut (SPPK)";"123456789";"51200";"kuala lumpur";"3.1839128";"101.6604767";"tutup";"private";"hospital";"5";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,pmcare";NULL;NULL
"94";"KLINIK CHAN";"215, Jalan Pudu";"123456789";"55100";"kuala lumpur";"3.1379116";"101.7098770";"buka";"private";"klinik";"7";"covid19,fastcovid19,denggi,ecg,imunisasi";"selcare,medkad";NULL;NULL
"95";"KLINIK LIM";"10A, 1st. Floor Jalan Kenanga Off Jalan Hang Tuah";"123456789";"55200";"kuala lumpur";"3.1384585";"101.7048950";"buka";"private";"veterinar";"9";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"96";"KLINIK K.H.ONG";"Ground Floor Darul Takaful 4 Jalan Sultan Sulaiman";"123456789";"50000";"kuala lumpur";"3.1394448";"101.6959534";"tutup";"private";"veterinar";"10";"fastcovid19,perancang,fomema,kehamilan,xray";"pmcare,selcare";NULL;NULL
"97";"CHANG SKIN CLINIC";"70, 3rd Floor Jalan Pudu";"123456789";"55100";"kuala lumpur";"3.1457860";"101.7025223";"buka";"private";"veterinar";"7";"kehamilan,xray,denggi,ecg,fomema";"selcare,medkad";NULL;NULL
"98";"KLINIK TAMAN DESA";"50A, Jalan Desa Bakti Town Centre, 3 1/2 Jalan Klang Lama";"123456789";"58100";"kuala lumpur";"3.1029105";"101.6840668";"buka";"private";"hospital";"5";"kehamilan,xray,denggi,ecg,imunisasi,bersalin";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"99";"KLINIK RAMABAI DAN SURGERI SDN. BHD.";"No. 14, Jalan Burung Tiung Taman Bukit Maluri";"123456789";"52100";"kuala lumpur";"3.2009888";"101.6326294";"tutup";"private";"farmasi";"6";"ultrasound,covid19,fastcovid19,perancang,fomema";"pmcare,selcare";NULL;NULL
"100";"Batu Pahat Health Clinic";"Jalan Kluang, Taman Limpoon, 83000 Batu Pahat, Johor";"07433 2544";"83000";"johor";"1.8501750";"102.9417267";"buka";"private";"pergigian";"8";"fastcovid19,perancang,fomema,kehamilan,xray";"aia,tnb,pmcare";NULL;NULL
"101";"NULKlinik Kee @ Batu PahatL";"49, Jalan Abu Bakar, Kampung Pegawai, 83000 Batu Pahat, Johor";"0162560926";"83000";"johor";"1.8525389";"102.9293671";"buka";"private";"pergigian";"7";"covid19,fastcovid19,denggi,ecg,imunisasi";"aia,tnb,pmcare,selcare,medkad";NULL;NULL
"102";"Klinik Azlina & Surgeri Batu Pahat";"Jalan Rugayah, Kampung Pegawai, 83000 Batu Pahat, Johor";"074313800";"83000";"johor";"1.8550550";"102.9263992";"tutup";"gov";"pergigian";"9";"kehamilan,xray,denggi,ecg,fomema";"aia,tnb,selcare,medkad";NULL;NULL
"103";"KLINIK NUR";"No.214, Jalan Rugayah, Kim's Park Business Centre, 83000 Batu Pahat, Johor";"074346203";"83000";"johor";"1.8576360";"102.9264984";"buka";"gov";"pergigian";"6";"covid19,fastcovid19,ecg,imunisasi";"aia,tnb,medkad";NULL;NULL
"105";"Klinik Teo";"196, Jalan Megat, Kim's Park Business Centre, 83000 Batu Pahat, Johor";"074346063";"83000";"johor";"1.8571810";"102.9264450";"tutup";"private";"pergigian";"7";"xray,denggi,ecg,fomema";"aia,tnb,pmcare,selcare";NULL;NULL
